year,month,frequency,months,timing
2015,December,98,12,2015-12-01
2016,January,22,1,2016-01-01
2016,February,57,2,2016-02-01
2016,March,18,3,2016-03-01
2016,April,20,4,2016-04-01
2016,May,29,5,2016-05-01
2016,June,27,6,2016-06-01
2016,July,12,7,2016-07-01
2016,August,6,8,2016-08-01
2016,September,108,9,2016-09-01
2016,October,112,10,2016-10-01
2016,November,25,11,2016-11-01
2016,December,13,12,2016-12-01
2017,January,3,1,2017-01-01
2017,February,27,2,2017-02-01
2017,March,14,3,2017-03-01
2017,April,19,4,2017-04-01
2017,May,5,5,2017-05-01
2017,June,16,6,2017-06-01
2017,July,99,7,2017-07-01
2017,August,85,8,2017-08-01
2017,September,24,9,2017-09-01
2017,October,15,10,2017-10-01
2017,November,12,11,2017-11-01
2017,December,24,12,2017-12-01
2018,January,129,1,2018-01-01
2018,February,143,2,2018-02-01
2018,March,127,3,2018-03-01
2018,April,134,4,2018-04-01
2018,May,187,5,2018-05-01
2018,June,198,6,2018-06-01
2018,July,175,7,2018-07-01
2018,August,145,8,2018-08-01
2018,September,142,9,2018-09-01
2018,October,119,10,2018-10-01
2018,November,113,11,2018-11-01
2018,December,120,12,2018-12-01
2019,January,112,1,2019-01-01
2019,February,152,2,2019-02-01
2019,March,146,3,2019-03-01
2019,April,140,4,2019-04-01
2019,May,100,5,2019-05-01
2019,June,101,6,2019-06-01
2019,July,113,7,2019-07-01
2019,August,143,8,2019-08-01
2019,September,121,9,2019-09-01
2019,October,152,10,2019-10-01
2019,November,146,11,2019-11-01
2019,December,140,12,2019-12-01
2020,January,109,1,2020-01-01
2020,February,110,2,2020-02-01
2020,March,98,3,2020-03-01
2020,April,110,4,2020-04-01
2020,May,99,5,2020-05-01
2020,June,76,6,2020-06-01
2020,July,98,7,2020-07-01
